userid,textid
1470034927609696259,49702
1497258205235269634,49703
1281111726130442241,49704
1499972108700594177,49705
45788514,49706
1498640258317295620,49707
1386937004072472578,49708
1867097040,49709
1151501886261886978,49710
22084396,49711
374327063,49712
3918521847,49713
3052406629,49714
36451250,49715
3000106900,45412
140973553,49716
16242452,49717
131752987,49718
112757218,49719
1083801202633121792,49720
1294003481330688000,49721
1876100298,49722
772361408956731392,49723
1453268128004202500,49724
1126555654985007104,11427
878855327789318145,49725
1451225347060535296,49726
1145343097,49727
1448548216991977473,49728
1549792512,49729
1252995538984861696,49730
1500137550626889733,34091
969115767609360384,49731
1469173704399671303,49732
75072295,46343
417431504,49733
1254016093259100161,924
142149997,47024
27693916,49734
1429956111344578562,49735
822742209971757056,46712
14762306,49736
3211586723,43530
1475340654855143424,49737
115115722,49738
1500116888877158401,38272
427819616,49739
1377434436288061442,49740
1375518300,49741
745274849648480257,49742
91509512,49743
1460118810409775108,49744
1194670287117139968,49745
711283110445498368,49746
1497505734447316993,49747
2369239850,32377
1322117988766633984,49748
102769600,49749
65058295,49750
122808422,49751
1261116399851716610,49752
1295979390,49753
1225249020,49754
2645017230,38319
428259247,49755
1397258591887937536,49756
2239513046,44844
1384991112,49757
1364062282196545537,49758
3030533474,49759
259987971,49760
288082615,49761
1285913943085441027,49762
837838110566281217,44678
3319135966,46667
3064266184,49763
722919613,49764
1952272676,49765
1082302883520045057,49766
1497041182244761605,48423
1300909792018542594,39109
940881059499175936,49767
609099268,49768
43121630,49769
45669172,49770
3041929291,43841
366304194,49771
521254823,49772
2543655588,49773
1372158302575005698,49774
1486648290351677441,49775
933341069030449154,49776
899308266748080128,49777
553765364,49778
2159967582,49779
1319743486229438464,49780
1475974270576730125,49781
1484210890983587846,49782
1496710322979229699,49783
357798678,49784
1106724163,49785
3175594877,49786
21337290,43611
1396026399849320450,49787
1220302232848982016,49788
1470141097775185923,49789
1372675463483695114,44588
1393198537169522690,49790
1093745752256466945,49652
1144935564950589440,49791
1499336773209661440,49792
1269002679935733760,49793
1500053784004898818,49794
1150751883566493696,49795
397616745,47521
1388170857198071811,49796
349028884,49797
1341457594913869826,49798
602482648,49799
1497145327077494785,49800
1280477701053300738,49801
950054964017086464,49802
18006752,49803
39714068,49804
2734486084,49784
3269155632,49805
1445049335511756801,49806
819158643371147264,49807
49282536,49808
2162490576,49809
1444026060585066498,49810
780585698139054081,49811
1260429392083333128,49812
1011145461556793345,49813
1494353155546619920,49814
1242734339718291457,49815
316376752,49816
1497846915916079110,49817
1433172938539339779,49818
1458768550273994755,44067
824628265801383940,49819
855892094547877893,49820
198093342,48432
88196314,49821
232460553,49822
1334237119074754560,49823
1440734847857659916,49824
453467320,49825
260835572,49826
17627768,49827
1235270614279229440,47840
72006928,49828
1237296654337916928,49829
1161257350646255621,33731
119960424,49830
969712190,43834
1388505776453476357,49831
1500161505635012612,34091
3410702787,49832
3015673391,49833
1131689516601888773,49834
295910783,49835
1159882047952949248,49836
1475068613195284480,49837
33232227,44005
937754666401755136,49838
264979288,49839
992179992,49840
148176326,49841
220100520,49842
911028990613364738,49843
2248231062,49844
1449811291913302018,49845
1500171374182211593,49846
1348542267900964864,49847
908345237982138368,49848
139883882,49849
2558943126,49850
2192010002,45388
2809088685,49851
1328993477124734976,49852
849212420530872320,48545
1259357602179235841,49853
1496725452815474688,49854
275916229,49855
576287770,49856
1245847400633323520,49857
1478298934065999873,49858
1416203030953742336,43530
1437728609909706753,49859
4059540264,49733
1396173748278026241,49860
1451660622874259458,33672
1491752674664009731,49861
1341232362,49862
1360394551463038979,49863
1499865076504961025,33260
932869704,49864
1448945317202759703,49865
86500381,45535
1403324833,49866
1498940351897391104,49867
936255936854921217,49868
1498589604680720385,49869
1218640093490974720,49870
2249652739,49871
1205180283718234112,49872
1356012014309683203,49873
224159550,49874
1462146461215473666,49875
1431042394674262017,49876
1214738012673736705,49877
1379978088138776577,49878
1427871911678291968,49879
71076436,49880
1499176030661136385,49881
2790631932,49882
2900139381,49883
3317884901,49884
251011046,49885
1186699041742172160,49886
248688460,49887
1192291811064238080,49888
1405946424911613953,49889
825420478009405440,48049
1229108045357166594,43708
1494259762984271874,49890
1249302094927941632,49891
1543976052,44022
1336888363840901121,6674
1181516596684185600,49892
1152260299061284864,49893
1377695543988781056,49894
554526738,49895
1461405611766263819,45238
3301771596,3007
1364311696358010882,49896
1251988171098857473,48432
1464666163045146624,49897
818219422913597440,49898
1348409003320123393,49899
372548852,49900
891504634736627712,45751
1442006956508516358,49901
330576715,49902
151456350,49903
1405629002430177281,49904
1498973278744031232,49905
1146313309857017857,49906
20275809,49907
17243913,49908
248624772,49909
2976130919,49910
27046692,49911
362534001,49912
1241352116104564736,49799
1031019048,40435
187885757,49913
1356606159180988416,49914
969544050918481920,49915
2184755390,49771
358563458,44024
923100765073367040,49311
1500108096693284867,49916
726179066592804864,49917
1090619516801990656,49918
2781732464,49919
45788514,49920
1489996199969050632,49921
2878641098,49922
939198884223516673,49920
616598562,49923
3001567475,49924
1425909938585366530,43530
1256849981836795905,49925
1269813257440759811,49926
229160327,49927
1477603135,49928
305403169,49929
1266286668954210304,49930
39304021,49931
14803639,49932
1313929957,49933
1195193528785063942,49934
1492616434165456897,49935
713614048261070848,49936
3097745769,49764
1005097691016245248,49937
897718010668044289,49830
1065810149653151746,49938
990342094391840770,49939
4800949824,49940
1147180269918547968,45243
1498298331839279108,34344
1190494841651761152,49941
496851361,49942
1445360778924732423,49943
1130045052523229185,49710
1358535892399489025,49944
1325311812074696704,49945
1497922964620206084,49946
720969452242804737,49947
1440502861662588933,49948
1114853674377986049,43748
27491678,49949
488067802,43834
936817394,49950
1378799053694205953,49951
1256928538592247809,49952
47836772,49953
4208039679,49954
1499839915156287488,49955
1394373847,33260
1444653712560037894,49956
1307933329556205568,49957
43242558,49958
1356651507584651264,49959
1363645793320636417,49960
25926296,49961
1253849245871996928,49962
1928999490,49963
990360616840949760,49964
239415549,49965
47428548,49966
1371525764936519681,49967
356560894,49968
2591057347,49969
1447694265241460739,49970
3300398932,49971
808138256873361409,49779
1500240233501270017,49972
901175062748725248,43708
146738509,49973
1430935376496144386,49974
1354520531677143045,49975
1650299124,49976
1260026350951231488,49977
1050637500,1507
356357705,49978
1429140800361754626,49979
1073207952184668161,49980
872578169492054017,49981
1347693723438764038,49982
1284477302223634433,49983
1480276058956083202,49803
234796740,43549
820594892556603392,49706
134222334,43928
1478026476620550144,49984
1387825833251905536,49985
26143616,43729
1498295935989952519,49986
1280660610,44022
1852390686,49987
593519995,49988
1461789629468844042,49989
1272454788530102272,49990
252936001,49991
1011924694554103809,49992
1438263172591403017,49993
3230129829,49994
1422247675588661253,49995
324842593,49984
723068431893843968,49996
2523050749,49997
522492473,43468
1418632975147732997,49998
1600599523,45777
2509019281,49999
1511361530,50000
1436003288319672324,50001
1269383913367056385,50002
1375966505087737868,50003
740462837638823936,50004
762210128,50005
1209184477655818245,50006
1487322686338514947,50007
1220419941720973312,50008
1385539100413997060,50009
1368680105665519616,50010
1416934130009346048,50011
1575284432,50012
2218733948,50013
329854963,50014
1017660930,50015
1497521277728395266,49784
3195823906,50016
400693944,50017
807844352424812546,50018
2499346287,50019
1306564940015206401,50020
901577492326227968,50021
1253333160332390402,50022
1245391158802604034,50023
1440361596627288065,50024
143001133,50025
187330176,50026
1291365724372340737,50027
1207901264601726976,50028
1331329637499203584,50029
2796819515,50030
1492634383647272962,50031
1495855082734297095,50032
305447437,50033
1132704066088386562,50034
1498395692485722119,50035
1079216821474115585,50036
32255812,43530
22692905,50037
1416399218403680257,50038
493005789,46934
495744568,50039
1389797678901514240,50040
862720787870089219,50041
50476632,50042
1426230212740714496,50043
1323668835644440578,50044
89477176,50045
302232285,50046
1445891016373018624,50047
3055692091,50048
401322063,50049
239602555,50050
1292325625,50051
4844681585,34344
2552909330,50052
1199798745120100355,50053
712753623768428546,49733
1186616573861269504,50054
1002918312127283201,50055
1291626578607132672,50056
369869874,50057
936011199161831424,43989
22125770,50058
1449001681773944836,50059
3930669495,50060
1350355309,46919
1092593151926104064,50061
1430643157058920451,50062
2776406372,50063
17686959,50064
1030947361,50065
3016126709,50066
1461884144565248010,50067
1065655282397638656,50068
1252596051619561472,50069
88196314,50070
22161784,49931
1186661060008271872,50071
2467490290,49826
774299712,50072
1162710900647890944,50073
3326799625,42974
1496639356412608523,50074
1307998309907337216,50075
1206516926161342464,50076
1498170721176256516,44329
1496676577483968513,50077
980713357106823168,50078
1244704131102560257,50079
2967917705,50080
60853813,50081
1497329025634680836,50082
1335232903,49880
1486313506756571136,50083
115506509,44486
75575621,50084
1499465117146271747,50085
2333091866,43834
874662875868090368,50086
1191791348380254209,50087
2290406826,50088
938427200969330688,48932
630518888,50089
2155958456,50090
886849070605709312,50091
1481302477198839812,50092
1497655501210935296,50093
