counts,tag,Pro_U,Pro_R,Neutral
19707,Ukraine,FALSE,FALSE ,TRUE
9052,Russia,FALSE,FALSE ,TRUE
5359,Putin,FALSE,FALSE ,TRUE
2248,Russian,FALSE,FALSE ,TRUE
1765,Kyiv,FALSE,FALSE ,TRUE
1654,UkraineRussiaWar,FALSE,FALSE ,TRUE
1614,UkraineRussianWar,FALSE,FALSE ,TRUE
1436,NATO,FALSE,FALSE ,TRUE
1118,UkraineWar,FALSE,FALSE ,TRUE
1027,RussiaUkraineWar,FALSE,FALSE ,TRUE
1018,ukraine,FALSE,FALSE ,TRUE
863,Anonymous,FALSE,FALSE ,TRUE
811,Mariupol,FALSE,FALSE ,TRUE
807,RussianUkrainianWar,FALSE,FALSE ,TRUE
806,Ukrainian,FALSE,FALSE ,TRUE
782,Kharkiv,FALSE,FALSE ,TRUE
714,RussiaUkraine,FALSE,FALSE ,TRUE
656,Ukraineï¸?612,FALSE,FALSE ,TRUE
566,russia,FALSE,FALSE ,TRUE
522,war,FALSE,FALSE ,TRUE
438,Zelensky,FALSE,FALSE ,TRUE
413,UKRAINE,FALSE,FALSE ,TRUE
395,US,FALSE,FALSE ,TRUE
384,EU,FALSE,FALSE ,TRUE
382,BREAKING,FALSE,FALSE ,TRUE
366,putin,FALSE,FALSE ,TRUE
337,Kiev,FALSE,FALSE ,TRUE
334,China,FALSE,FALSE ,TRUE
328,Tigray,FALSE,FALSE ,TRUE
325,Europe,FALSE,FALSE ,TRUE
308,Belarus,FALSE,FALSE ,TRUE
306,Moscow,FALSE,FALSE ,TRUE
298,Kherson,FALSE,FALSE ,TRUE
282,Poland,FALSE,FALSE ,TRUE
281,RussianArmy,FALSE,FALSE ,TRUE
273,worldwar3,FALSE,FALSE ,TRUE
267,USA,FALSE,FALSE ,TRUE
264,Ukriane,FALSE,FALSE ,TRUE
248,WWIII,FALSE,FALSE ,TRUE
239,Biden,FALSE,FALSE ,TRUE
220,Russians,FALSE,FALSE ,TRUE
201,InternationalWomensDay,FALSE,FALSE ,TRUE
193,kyiv,FALSE,FALSE ,TRUE
178,Sumy,FALSE,FALSE ,TRUE
174,India,FALSE,FALSE ,TRUE
163,StPetersburg,FALSE,FALSE ,TRUE
159,Zaporizhzhia,FALSE,FALSE ,TRUE
159,UkraineRussiaConflict,FALSE,FALSE ,TRUE
158,Ukrainians,FALSE,FALSE ,TRUE
144,War,FALSE,FALSE ,TRUE
142,Palestine,FALSE,FALSE ,TRUE
140,WW3,FALSE,FALSE ,TRUE
139,Syria,FALSE,FALSE ,TRUE
138,Mykolaiv,FALSE,FALSE ,TRUE
131,Ukraina,FALSE,FALSE ,TRUE
115,NFT,FALSE,FALSE ,TRUE
114,Iran,FALSE,FALSE ,TRUE
111,Germany,FALSE,FALSE ,TRUE
111,UN,FALSE,FALSE ,TRUE
105,Odessa,FALSE,FALSE ,TRUE
103,Trump,FALSE,FALSE ,TRUE
101,Breaking,FALSE,FALSE ,TRUE
99,russian,FALSE,FALSE ,TRUE
99,Taiwan,FALSE,FALSE ,TRUE
97,Lavrov,FALSE,FALSE ,TRUE
95,Israel,FALSE,FALSE ,TRUE
93,Chernihiv,FALSE,FALSE ,TRUE
90,UK,FALSE,FALSE ,TRUE
87,Irpin,FALSE,FALSE ,TRUE
83,Ucrania,FALSE,FALSE ,TRUE
83,Turkey,FALSE,FALSE ,TRUE
83,Yemen,FALSE,FALSE ,TRUE
80,nuclear,FALSE,FALSE ,TRUE
78,America,FALSE,FALSE ,TRUE
77,Lviv,FALSE,FALSE ,TRUE
77,Melitopol,FALSE,FALSE ,TRUE
75,IWD2022,FALSE,FALSE ,TRUE
75,VladimirPutin,FALSE,FALSE ,TRUE
72,RUSSIA,FALSE,FALSE ,TRUE
71,SWIFT,FALSE,FALSE ,TRUE
71,Kremlin,FALSE,FALSE ,TRUE
70,Donbass,FALSE,FALSE ,TRUE
70,Bitcoin,FALSE,FALSE ,TRUE
70,protest,FALSE,FALSE ,TRUE
69,Chernobyl,FALSE,FALSE ,TRUE
67,racism,FALSE,FALSE ,TRUE
67,Ukrania,FALSE,FALSE ,TRUE
66,UkraineKrieg,FALSE,FALSE ,TRUE
64,nato,FALSE,FALSE ,TRUE
64,Iraq,FALSE,FALSE ,TRUE
64,news,FALSE,FALSE ,TRUE
